postal_code,business_id
92672,64660
94013,37167
94013,37169
94014,74674
94014,80829
94014,87059
94066,5757
94101,65856
94101,83744
94102,102
94102,134
94102,192
94102,275
94102,695
94102,709
94102,1031
94102,1139
94102,1156
94102,1207
94102,1232
94102,1235
94102,1351
94102,1396
94102,1438
94102,1549
94102,1741
94102,1742
94102,1813
94102,2094
94102,2104
94102,2106
94102,2107
94102,2401
94102,2559
94102,2561
94102,2588
94102,2589
94102,2592
94102,2768
94102,2799
94102,2810
94102,2833
94102,2862
94102,2898
94102,2922
94102,2924
94102,2925
94102,2926
94102,2928
94102,2955
94102,3019
94102,3038
94102,3056
94102,3112
94102,3123
94102,3129
94102,3207
94102,3373
94102,3374
94102,3375
94102,3403
94102,3482
94102,3490
94102,3495
94102,3496
94102,3562
94102,3611
94102,3640
94102,3642
94102,3643
94102,3645
94102,3646
94102,3665
94102,3707
94102,3729
94102,3731
94102,3769
94102,3776
94102,3790
94102,3791
94102,3794
94102,3795
94102,3796
94102,3800
94102,3803
94102,3926
94102,3929
94102,3936
94102,3989
94102,3990
94102,4047
94102,4135
94102,4136
94102,4298
94102,4304
94102,4326
94102,4327
94102,4333
94102,4404
94102,4405
94102,4406
94102,4407
94102,4408
94102,4409
94102,4410
94102,4411
94102,4574
94102,4721
94102,4729
94102,4893
94102,4905
94102,4983
94102,5345
94102,5409
94102,5420
94102,5430
94102,5434
94102,5441
94102,6367
94102,6369
94102,6548
94102,6636
94102,6881
94102,6887
94102,6893
94102,6895
94102,7182
94102,7276
94102,7512
94102,7519
94102,7652
94102,7653
94102,7672
94102,7692
94102,7695
94102,7809
94102,9710
94102,9873
94102,10107
94102,10238
94102,10433
94102,10438
94102,11860
94102,13965
94102,14075
94102,14577
94102,17616
94102,17762
94102,17822
94102,17933
94102,18428
94102,19277
94102,21921
94102,24022
94102,25151
94102,25153
94102,25160
94102,25161
94102,25162
94102,25163
94102,25878
94102,26146
94102,26343
94102,28193
94102,28468
94102,30478
94102,31568
94102,31799
94102,32702
94102,32729
94102,32736
94102,32872
94102,32995
94102,33020
94102,33084
94102,33113
94102,33468
94102,33523
94102,33920
94102,34352
94102,34353
94102,34354
94102,34676
94102,34839
94102,35106
94102,35565
94102,35689
94102,35771
94102,35884
94102,35920
94102,36179
94102,36744
94102,36861
94102,37182
94102,37344
94102,37651
94102,38112
94102,38339
94102,38606
94102,39295
94102,39495
94102,39513
94102,39936
94102,57751
94102,58710
94102,59041
94102,59153
94102,59178
94102,59422
94102,59744
94102,59828
94102,60043
94102,60345
94102,60354
94102,60355
94102,60697
94102,60711
94102,61032
94102,61180
94102,61357
94102,61618
94102,61823
94102,61953
94102,62064
94102,62277
94102,62308
94102,62443
94102,62445
94102,62462
94102,62550
94102,62551
94102,62552
94102,62674
94102,62706
94102,62778
94102,63150
94102,63503
94102,63554
94102,63619
94102,63651
94102,63652
94102,63653
94102,63654
94102,63800
94102,63804
94102,64008
94102,64236
94102,64313
94102,64621
94102,64682
94102,64745
94102,64805
94102,64938
94102,64940
94102,64975
94102,65066
94102,65240
94102,65283
94102,65408
94102,65872
94102,66185
94102,66219
94102,66675
94102,66694
94102,66709
94102,66932
94102,66979
94102,67063
94102,67184
94102,67246
94102,67250
94102,67356
94102,67786
94102,67865
94102,68287
94102,68295
94102,68360
94102,68626
94102,68629
94102,68690
94102,68764
94102,68774
94102,69110
94102,69121
94102,69150
94102,69215
94102,69288
94102,69387
94102,69388
94102,69492
94102,69495
94102,69584
94102,69590
94102,69592
94102,69595
94102,69665
94102,69680
94102,69681
94102,69705
94102,69906
94102,69938
94102,70014
94102,70418
94102,70515
94102,70921
94102,70960
94102,71065
94102,71067
94102,71424
94102,71456
94102,71510
94102,71528
94102,71769
94102,71962
94102,72004
94102,72015
94102,72093
94102,72117
94102,72171
94102,73900
94102,73902
94102,73906
94102,74070
94102,74210
94102,74240
94102,74358
94102,74436
94102,74524
94102,74626
94102,75010
94102,75013
94102,75161
94102,75187
94102,75801
94102,75850
94102,75886
94102,76064
94102,76218
94102,76285
94102,76297
94102,76373
94102,76492
94102,76588
94102,76602
94102,76681
94102,76787
94102,76874
94102,76909
94102,77098
94102,77155
94102,77213
94102,77611
94102,77705
