address,business_certificate,business_id,business_name,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
1001 Minnesota St,394578,65241,Piccino,SF,37.7578,-122.39,1001 Minnesota St.,SF,Early Girls LLC,CA,94107,null,94107,H25
170 King St #131,457591,65754,Subway#51109,SF,37.7787,-122.391,119 Penhurst Ct.,Daly City,Sardool Samra,CA,94015,null,94107,H24
1661 Tennessee St Suite 3B,445593,66198,Alfred Schilling Catering,null,37.7507,-122.388,"555 John Muir Dr., B608",SF,Alfred D. Schilling,CA,94132,null,94107,H30
PIER 40,456570,66522,Java House LLC,S.F.,null,null,Pier 40,SF,Java House LLC  Maria Moustakis,CA,94107,null,94107,H24
2565 03rd St #334,402542,66583,Kara's Cupcakes,SF,37.7571,-122.388,3249 Scott Street,SF,Kara's Cupcakes Inc.,CA,94123,null,94107,H33
2565 03rd St Ste. 307,381957,66902,Palio Cafe,SF,37.7571,-122.388,505 Montgomery St.,SF,"Paninoteca, Inc.   Bettie Scodel",CA,94111,null,94107,H30
1058 Folsom St,484819,66925,Deli Board,San Francisco,37.7775,-122.407,1080 Howard St.,SF,Deli Board LLC,CA,94103,null,94107,H26
1700 Owens Street,458394,67160,Zcrepes,SF,37.7677,-122.394,80 Miraflores Ave.,San Rafael,Zcaffeinated Inc.,CA,94901,null,94107,H24
445 Bayshore Blvd,470392,67237,La Jefa,SF,37.7499,-122.406,574 3rd St. #205,SF,Mario Delgado,CA,94107,null,94107,H79
701 02nd St,462846,67591,S & S Brand,SF,37.7751,-122.468,"2 Townsend Street, #2-603",SF,"SOS Spice Co., Inc.",CA,94107,null,94107,H74
1700 Owens St,464674,67615,Esposto's Deli,SF,37.7677,-122.394,"360 Shaw Rd., #C",South San Francisco,Esposto's - SF LLC,CA,94080,null,94107,H26
807 22nd St,362327,67661,Recchiuti Confections,SF,37.7578,-122.389,"2565 3rd Street, Suite 225",San Francisco,Confections by Michael Recchiuti LLC,CA,94107,null,94107,H03
801 22nd St,362327,67864,Recchiuti Chocolate Lab,SF,null,null,"2565 3rd Street, Suite 225",San Francisco,Confections by Michael Recchiuti LLC,CA,94107,null,94107,H24
2455 03rd St,464519,67937,Dogpatch Wineworks,SF,37.7586,-122.388,2455 3rd St.,SF,Dogpatch Wineworks,CA,94107,null,94107,H03
185 BERRY St #1430,455335,68037,Focaccia Market Bakery,S.F.,37.776,-122.393,"182 Howard St, #403",SF,"Focaccia Market Bakery, Inc.",CA,94105,null,94107,H26
2427 03rd St,464780,68105,Gilberth's Rottiserie & Grill,SF,37.7589,-122.388,632 20th St.,Sf,Julia Posada,CA,94107,null,94107,H25
372 Ritch St,302119,68146,Cento 330 Ritch Street,SF,37.7787,-122.394,572 3rd Ave.,SF,John Quintos,CA,94118,null,94107,H24
185 Berry St,358709,68226,SF Soup Co.,SF,37.776,-122.393,451 6th St.,SF,Steve Sarver,CA,94103,null,94107,H79
200 King St,466116,68362,Lucky Strike San Francisco LLC,SF,37.7782,-122.392,15260 VENTURA BLVD. #1110,SHERMAN OAKS,FOSTERS CREATIVE ENTERTAINMENT CNCP,CA,91403,null,94107,H26
1135 18th St,465643,68407,Ganim's Market,S.F.,37.7627,-122.394,95 Exeter St.,SF,ICAM Group,CA,94124,null,94107,H24
601 TOWNSEND STREET,168329,68431,Bon Appetit @ Adobe,S.F.,37.7717,-122.402,"100 Hamilton Avenue, Suite 400",Palo Alto,Bon Appetit Management Company,CA,94301,null,94107,H26
1419 18th St,466571,68596,Ruby Wine,S.F.,37.7625,-122.397,1419 18th St.,SF,Aran Healy,CA,94107,null,94107,H03
130 Townsend St,395383,68649,Tres Truck,SF,37.7801,-122.391,1880 PLEASANT VALLEY AVE,OAKLAND,TRES AGAVES LLC,CA,94611,null,94107,H79
489 03rd St,468945,68753,La Briciola  Restaurant,S.F.,37.7815,-122.396,489 3rd St.,SF,"Sapienza and Toschi, Inc.",CA,94107,null,94107,H26
522 02nd St,449979,68813,Small Foods,SF,37.7828,-122.393,522 2nd St.,SF,Simply Smart Foods LP,CA,94107,null,94107,H07
1315 18th St,459557,68814,Farley's,S.F.,37.7637,-122.466,33 Grand Ave.,Oakland,"Grace Skye, LLC",CA,94612,null,94107,H24
330 05th St,466417,68824,Harvey's Place,S.F.,37.7798,-122.403,330 5th St.,San Francisco,Anum Malik,CA,94107,null,94107,H07
24 Willie Mays Plaza,303652,69044,AT&T PARK - NEW DERBY GRILL,null,null,null,201 East Broad Street,Spartanburg,"Volume Services America, Inc.",South Carolina,29306,null,94107,H36
24 Willie Mays Plaza,303652,69045,AT&T PARK - NEW VENDING ROOM,null,null,null,201 East Broad Street,Spartanburg,"Volume Services America, Inc.",South Carolina,29306,null,94107,H36
24 Willie Mays Plaza,303652,69047,AT&T PARK - WINE CART,null,null,null,201 East Broad Street,Spartanburg,Volume Services America. Inc.,South Carolina,29306,null,94107,H36
24 Willie Mays Plaza,303652,69048,AT&T PARK - 1ST BASE CARVERY,null,null,null,201 East Broad Street,Spartanburg,"Volume Services America, Inc.",South Carolina,29306,null,94107,H36
24 Willie Mays Plaza,303652,69049,AT&T PARK - ANCHOR PLAZA,null,null,null,201 East Broad Street,Spartanburg,"Volume Services America, Inc.",South Carolina,29036,null,94107,H36
24 Willie Mays Plaza,303652,69051,AT&T PARK - P6 DRAFT CART,null,null,null,201 East Broad Street,Spartanburg,"Volume Services America, Inc.",South Carolina,29306,null,94107,H36
24 Willie Mays Plaza,303652,69053,AT&T PARK - 134 HOT CORNER BAR,null,null,null,201 East Broad Street,Spartanburg,"Volume Services America, Inc.",South Carolina,29306,14155971500,94107,H36
24 Willie Mays Plaza,10850,69135,Ghirardelli Chocolate - Main Concourse Level,null,null,null,1111 139th Avenue,San Leandro,"Ghirardelli Chocolate Company / Martin Thompson, CEO",CA,94578,null,94107,H36
817 TERRY FRANCOIS Blvd,466881,69147,Mission Rock Resort,S.F.,null,null,760 2nd Street,San Francisco,"Golden Bear Restaurant Company III, LLC / Peter W. Osborne",CA,94107,null,94107,H26
747 03rd St,394889,69152,Polo Grounds Pub & Grill,S.F.,null,null,747 3rd Street,San Francisco,"O'Neill's Irish Pub SF, LLC / Kevin Kynoch, Doug Sinclair",CA,94107,null,94107,H25
1255 22nd St,362812,69186,"Premier Catering & Events, Inc.",S.F.,null,null,298 Magellan Ave.,SF,"Premier Catering & Events, Inc.",CA,94116,14155530288,94107,H30
2419 03rd St,455419,69187,Poco Dolce Confections Inc.,SF,37.759,-122.388,1020 Illinois St.,SF,"Poco Dolce Confections, Inc.",CA,94107,null,94107,H03
858 Folsom St,465624,69244,Jamber,SF,37.781,-122.403,220 Francisco St.,SF,"Jamber, LLC",CA,94133,null,94107,H26
2565 03rd St #323,465485,69279,Patisserie Philippe,SF,37.7571,-122.388,"200 Townsend St., Unit 40",SF,Patisserie Philippe LLC,CA,94107,null,94107,H30
150 Mississippi St,470465,69574,Front Cafe LLC,null,37.7646,-122.395,150 Mississippi St.,SF,Front Café LLC   Randall Stowell,CA,94107,null,94107,H24
170 O'Farrell St,470681,69621,Pinkberry,null,37.7865,-122.408,10359 Rochester Avenue,Los Angeles,"Watershed PB, Inc. / Elliot Mahn",CA,90024,null,94107,H24
290 Townsend St,470527,69945,Linda's Catering,SF,null,null,3623 Kirkham St.,SF,Hong Yan Fang-Li,CA,94122,null,94107,H79
850 Folsom St,472279,70143,Rice Paddy,SF,null,null,1461 Pacific Ave.,SF,Marie Tran,CA,94109,null,94107,H74
685 03rd St,472585,70306,Baan/Alchemist,SF,null,null,685 3rd St.,SF,Prana Venture Group,CA,94107,null,94107,H26
475 03rd St,444489,70459,Garaje,S.F.,37.7816,-122.396,1357 Terra Nova Blvd.,Pacifica,Bistronomics LLC,CA,94044,null,94107,H25
345 03rd St,355945,70797,Cafe Du Soleil,SF,null,null,P.O. Box 307,Millbrae,Mehrdad-Ramezanbeigi,CA,94030,null,94107,H24
2425 03rd St,301143,70939,La Fromagerie,null,null,null,2425 3rd St.,SF,Bouvet USA,CA,94107,14155865002,94107,H07
178 Townsend St,442686,70949,Saison,SF,null,null,178 Townsend St.,SF,Saison Dining Group LLC,CA,94107,null,94107,H26
683 04th St,469766,71056,The Iron Cactus,SF,37.7774,-122.395,350 Townsend St. #324,SF,Dangan Investments Inc.,CA,94107,null,94107,H26
685 04th St,469621,71057,The Creamery,SF,37.7774,-122.395,"350 Townsend Street, #324",SF,Bushypark Investments Inc.,CA,94107,null,94107,H26
580 04th St,474837,71081,Chrome Coffee Bar,null,null,null,372 Ritch St,Sf,Café Lambretta LLC,CA,94107,14155267581,94107,H78
428 11th St,467565,72129,The Slider Shack #2,null,null,null,5919 Avoca Avenue,Oakland,Slider Shack LLC,CA,94611,null,94107,H79
1220 16th St,478809,72176,Wolfes Lunch,null,null,null,1777 Pine St #306,San Francisco,"Ji Young Shim, Doo Sun kwon",CA,94109,null,94107,H25
2901 03rd St,100343,74065,Tacos El Flaco,null,null,null,"680 Florida St., Apt. #117",Sf,Jose E Ortiz,CA,94110,14155426731,94107,H79
2565 03rd St Unit#310,440731,74245,Foxtail Catering & Events,null,null,null,"2565 3rd Street, Suit 310",SF,The Fire Society LLC,CA,94107,null,94107,H30
2325 03rd St #326,456081,74246,Nosh This,null,null,null,"2325 3rd St., #326",SF,Kai Kronfield,CA,94107,null,94107,H21
24 Willie Mays Plaza,303652,74317,AT&T PARK - DRAFT CART (P 8),null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,74326,AT&T PARK - CLUB LEMONADE,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,74327,AT&T PARK - WINE BAR/VINTAGE '58,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,74328,AT&T PARK - MARGARITA CART (P 10),null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,74332,AT&T PARK - BEER CART (P 2),null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,74333,AT&T PARK - CERVEZAS CART (V 2),null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,74336,AT&T PARK - BABY BULL (P 10),null,null,null,1 Independence Point,Greenville,"Volume Services, Inc./Centerplate",SC,29615,null,94107,H36
409 Illinois St,477404,74509,Guckenheimer at Fibrogen,null,null,null,"3 Lagoon Dr., #325",Redwood Shores,"Guckenheimer Services, LLC",CA,94065,null,94107,H26
24 Wiilie Mays Pl #120,10850,74760,Ghirardelli Chocolate,null,null,null,1111 134th Avenue,San Leandro,"Ghirardelli Chocolate Co. / Yuo Smit, Martin Hug",CA,94578,null,94107,H36
630 Rhode Island,426225,74974,Kitchen on the Hill,SF,null,null,630 Rhode Island Street,SF,Lani Boucher,CA,94107,null,94107,H99
958 Illinois St,389602,75223,The Plant Cafe Organic,SF,null,null,"Pier 3 on the Embarcadero, suite 108",SF,Lettus LLC,CA,94111,null,94107,H30
2496 03rd St,472430,75356,Dogpatch Saloon,SF,null,null,2496 03rd St.,SF,"Dogpatch Saloon, LLC",CA,94107,null,94107,H86
360 Ritch St,485515,75406,Victory Hall And Parlor,San Francisco,null,null,360 Ritch St,San Francisco,Ram & Pig Productions LLC,CA,94107,null,94107,H26
636 02nd St,483733,75409,Merigan Sub Shop,null,null,null,2009 Fulton St,San Francisco,"Regno Limone, LLC",CA,94117,null,94107,H25
684 King St,480430,75467,Crepe Cone,SF,null,null,684 King Street,SF,"Crepe Cone 1, LLC",CA,94107,null,94107,H24
242 King St,481665,75468,Umami Burger,SF,null,null,242 King St.,SF,UBSOMA LLC,CA,94107,null,94107,H26
88 Colin P. Kelly Jr. St,456831,75575,Git Hub,San Francisco,null,null,88 Colin P. Kelly Jr St.,San Francisco,"Git Hub, Inc",CA,94107,null,94107,H84
102 South Park St,482490,75956,Caffe Centro,SF,null,null,102 South Park St.,SF,Buswell Restaurant Group LLC,CA,94107,null,94107,H28
24 Willie Mays Plaza,941060,76223,AT&T PARK - (CART 6) Espresso & Dessert,null,null,null,"131 Steuart Street, Suite 201",San Francisco,Juma Ventures,CA,94105,null,94107,H36
24 Willie Mays Plaza,941060,76230,AT&T PARK - Coffee Bar & Ice Cream,null,null,null,"131 Steuart Street,  Suite 201",San Francisco,Juma Ventures,CA,94105,null,94107,H36
24 Willie Mays Plaza,941060,76233,AT&T PARK - Internet Cafe,null,null,null,"131 Steuart Street, Suite 201",San Francisco,Juma Ventures,CA,94105,null,94107,H36
24 Willie Mays Plaza,303652,76355,AT&T PARK - Centerplate/Crazy Grab'z Cart,null,null,null,1 Independence Pointe,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
2347 03rd St,480513,76442,Long Bridge Pizza Company,SF,null,null,2347 3rd St.,SF,"Long Bridge Pizza Company, LLC  Markoulis Andrew/Denardi Neal",CA,94107,null,94107,H24
826 26th St,421849,76619,Cesars Ballroom,SF,null,null,826 26th Street,SF,Cesar Ascarrunz,CA,94107,null,94107,H86
761 03rd St,481932,76653,Happy Donut,SF,null,null,761 03rd St.,SF,"Handan Donuts, Inc.",CA,94107,null,94107,H26
303 02nd St,120607,76659,Andersen,SF,null,null,30703 San Clemente St.,Hayward,Andersen America Inc.,CA,94544,null,94107,H25
628 20th St,476177,76895,Third Rail,SF,null,null,628 20th St.,SF,The Third Rail Bar LLC,CA,94110,null,94107,H87
633 Folsom St,475580,76896,R & B Cafe,SF,null,null,633 Folsim St.,SF,Hsie Liu,CA,94107,null,94107,H26
855 Terry Francois Blvd,427544,77185,The Ramp,SF,null,null,855 Terry Francois St.,SF,Ramp Restaurant Co.,CA,94107,14155597267,94107,H26
170 King St #109,485836,77252,Bravado,SF,null,null,"172 King Street, #109",San Francisco,Urbane LLC,CA,94107,null,94107,H25
217 King St,482663,77403,Little Giant Restaurant Inc.,null,null,null,2220 Kirkham St.,SF,"Little Giant Restaurant, Inc.",CA,94122,null,94107,H29
219 King St,485731,77404,Shabu Bar,null,null,null,2220 Kirkham St.,SF,"Shabu Bar, Inc.",CA,94122,null,94107,H29
350 02nd St,393878,77492,Los Compadres Catering (Lic #5E50688),null,null,null,116 Grand Ave.,SSF,Rafael Vizcaino,CA,94080,null,94107,H79
799 Bryant St,484257,77901,"The Estate Kitchen, LLC",SF,null,null,799 Bryant St.,SF,"The Estate Kitchen, LLC",CA,94107,null,94107,H25
2505 03rd St,462400,78178,Magnolia Brewing Company,null,null,null,2505 3rd St.,SF,Magnolia Brewing Company LLC,CA,94107,null,94107,H24
689 Folsom St,428530,78219,Soma Wine & Spirits 2,null,null,null,689 Folsom St.,San Francisco,"Soma Wines & Spirits, Inc.",CA,94107,null,94107,H07
2289 03rd St,487879,78294,The Sea Star,SF,null,null,2289 3rd St.,Sf,Majestic Hall LLC,CA,94107,null,94107,H86
303 02nd St Suite G,483575,78301,Fearless,null,null,null,303 02nd St.,San Francisco,Ministry of Taste LLC,CA,94107,null,94107,H25
303 02nd St,483575,78303,Red Dog,null,null,null,303 02nd St.,San Francisco,Ministry of Taste LLC,CA,94107,null,94107,H26
24 Willie Mays Plaza,303652,78365,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78366,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78367,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78368,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78369,AT&T PARK - Draft Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78370,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303562,78371,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303562,78372,AT&T PARK - Outta Here Cheesesteak,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78373,AT&T PARK - Wine Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78374,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,78375,AT&T PARK - Draft Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
1500 Owens St,484457,78389,Bar Oda,null,null,null,1500 Owens St.,San Francisco,Oda Restaurant Inc.,CA,94107,null,94107,H26
564 04th St,1005446,78405,Cockscomb Restaurant,null,null,null,564 4th St.,San Francisco,Cockscomb Restaurant LLC,CA,94107,14155970700,94107,H26
1631 20th St,352084,78408,Thinker's Cafe,null,null,null,1631 20th St.,San Francisco,Jenny D. Phreab,CA,94107,null,94107,H24
24 Willie Mays Plaza,303652,78653,AT&T PARK - Outta Here Cheesesteak,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
24 Willie Mays Plaza,303652,78656,AT&T PARK - Snack Stand,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
700 04th St,481479,78663,Tazza D'Amore Inc.,null,null,null,"4489 17th St., Unit #1",SF,Tazza D'Amore Inc.,CA,94114,null,94107,H24
937 A Harrison St,308096,78797,Anar Persian Cuisine,null,null,null,937A Harrison St.,SF,Michael Kimiyaie & Hadi Mohammadi,CA,94107,null,94107,H25
236 King St,488203,78962,Barry's Boot Camp,null,null,null,236 King St.,SF,"BBC Unit 1, LLC",CA,94107,null,94107,H26
24 Willie Mays Plaza,303652,79000,AT&T PARK-Virgin America Flight Deck Bar,null,null,null,1 Independence Point,Geenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79003,AT&T PARK - Portable Bar,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79005,AT&T PARK - Margarita Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79006,AT&T PARK - Draft Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79008,AT&T PARK - Draft Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79009,AT&T PARK - Margarita Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79010,AT&T PARK - Draft Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79011,AT&T PARK - Draft Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79012,AT&T PARK - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,941060,79146,AT&T PARK - Ice Cream & Espresso,null,null,null,"131 Steuart Street, Suite 201",San Francisco,Juma Ventures,CA,94105,null,94107,H36
266 King St,481136,79347,Tender Greens,San Francisco,null,null,266 King Street,San Francisco,"T.Y.P. Restaurant Group, Inc.",CA,94107,null,94107,H26
680 Folsom St,180332,79433,Speciality's Cafe and Bakery,San Francisco,null,null,"5050 Hopyard Road, Suite 250",Pleasanton,"Specialty's Café and Bakery, Inc",CA,94588,null,94107,H26
493 03rd St,478711,79498,Picnic On Third,null,null,null,"79 Hill St., #B",San Francisco,Tag'd LLC,CA,94110,null,94107,H26
234 Townsend St,482877,79499,Bright Les Clos,null,null,null,234 Townsend St.,SF,Bright Wine LLC,CA,94107,null,94107,H25
303 02nd St #N125,425872,79515,Urban Picnic,null,null,null,125 Kearny Street,Sf,Marcelle Corporation,CA,94108,null,94107,H25
24 Willie Mays Plaza,303652,79586,AT&T PARK - Garden Table Stand,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,20615,null,94107,H36
24 Willie Mays Plaza,303652,79587,AT&T PARK - Hearth Table Stand,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,79588,AT&T PARK - Garden Bar,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
24 Willie Mays Plaza,303652,79589,AT&T PARK - Beverage Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
989 20th St,481719,79869,Saba Jam,null,null,null,"989 20th Street, Unit 469",SF,Saba Parsa,CA,94107,null,94107,H98
24 Willie Mays Plaza,303652,79905,AT&T PARK - Gotham Bar,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Wilie Mays Plaza,303652,79906,AT&T PARK - Gotham Kitchen,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H25
1469 18th St,373771,79989,Mochica,SF,null,null,778 Lakeview Ave.,SF,Altamirano LLC,CA,94112,null,94107,H25
500 Brannan St,1002648,80063,Marlowe,null,null,null,"489 Harrison Street, #506",San Francisco,More Marlowe LLC,CA,94105,null,94107,H26
350 Rhode Island St 150,168329,80279,Bon Appetit Management Company,null,null,null,"350 Rhode Island St., Ste. 150",SF,Bon Appetit Management Co.,CA,94107,null,94107,H30
499 Illinois St,168329,80487,Stem Kitchen and Garden,null,null,null,"100 Hamilton Avenue, Suite 400",Palo Alto,Bon Appetit Management Co.,CA,94301,null,94107,H26
2343 03rd St,465075,80890,Neighbor Bakehouse,San Francisco,null,null,1591 Page St,San Francisco,Greg C. Mindel,CA,94117,14150772405,94107,H88
520 03 St  Third Floor,20592,80935,Advance Magazine Publishers Inc.,San Francisco,null,null,1313 North Market St. 11th Floor,Wilmington,Advance Magazine Publishers Inc.,Delaware,19801,14155275152,94107,H24
483 03rd St,505744,81316,Soma Pizza,null,null,null,1926 Bayview Avenue,Belmont,"Isam Darwish, Nedal Shoman",Ca,94002,14150264580,94107,H25
431 2nd St,474295,81592,G Food Lounge,SF,null,null,"425 2nd St, Ste 100",San Francisco,"SAS Group LLC, c/o Manish Panjiar",CA,94107,14155239923,94107,H78
413 10th St,462421,81637,Jordan's Kitchen LLC,null,null,null,1255 Rhode Island st,San Francisco,Jordan's Kitchen LLC,CA,94107,14155710761,94107,H26
399 05th St,367904,81654,AllStars Donuts,null,null,null,2960 Dublin Dr,South San Francisco,Calvin Wei,CA,94080,14155880889,94107,H25
829 26th St,108040,81723,The Wine House,null,null,null,829 26th St.,SF,Wine House LTD,CA,94107,null,94107,H03
795 A Folsom St,1004542,81861,Subway Sandwiches #33847,null,null,null,795A Folsom St.,SF,"Shahvali, Inc.",CA,94107,null,94107,H24
"337 Seawall Lot A, Land Area 1-1",451897,81946,Anchor At The Yard,SF,null,null,1705 Mariposa Street,SF,Anchor Brewing Company LLC,CA,94107,null,94107,H86
415 De Haro St Unit#105,486654,81992,Twirl And Dip,SF,null,null,887 Rhode Island St.,SF,Twirl And Dip,CA,94107,null,94107,H24
1258 Minnesota St,415140,82033,Philz Coffee,null,null,null,1258 Minnesota Street,SF,Philz Coffee Inc.,CA,94107,null,94107,H26
24 Willie Mays Plaza,303652,82036,AT&T PARK - Food Stand,null,null,null,1 Independence Pointe,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
590 03rd St,1012292,82038,Kama O Deli LLC,SF,null,null,590 3rd St.,SF,Kama O Deli LLC,CA,94107,null,94107,H24
315 05th St,438867,82207,Mathilde French Bistro,null,null,null,315 5th St.,SF,Le Charm Inc.,CA,94107,null,94107,H25
2495 03rd St,460285,82469,Serpentine,SF,null,null,2495 3rd St.,SF,"Serpentine, Inc.",CA,94107,null,94107,H25
1099 Tennessee St,1000735,82636,Marcella's Lasagneria E Cucina,null,null,null,1099 Tennessee St.,SF,Marcella's Natural Foods Inc.,CA,94107,null,94107,H24
772 Folsom St,1007473,82656,The Pin Up,SF,null,null,245 Kearny St.,SF,"And Another One, LLC",CA,94108,null,94107,H25
680 A 02nd St,1012708,82793,Slice House by Tony Gemignani,null,null,null,680A 2nd Street,SF,"680 2nd Street Partners, LLC",CA,94107,null,94107,H26
551 03rd St,1001998,82823,Tacos El Ojo De Agua,null,null,null,1001 Phelps Street,San Francisco,Guadalupe Benitez,CA,94124,null,94107,H79
24 Willie Mays Plaza,303652,82844,AT&T - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,82845,AT&T Park - Wine Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,82846,AT&T Park - Food Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
24 Willie Mays Plaza,303652,82847,AT&T Park - Coors Light Plaza,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",SC,29615,null,94107,H36
24 Willie Mays Plaza,303652,82850,AT&T Park - Beer Cart,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
24 Willie Mays Plaza,303652,82852,AT&T Park - Beer Cart P14,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
24 Willie Mays Pl,303652,82854,AT&T Park - Beer Cart P15,null,null,null,1 Independence Point,Greenville,"Volume Services, Inc.",South Carolina,29615,null,94107,H36
24 Willie Mays Plaza,918299,82933,San Francisco Giants,null,null,null,24 Willie Mays Plaza,San Francisco,"SF Baseball Associates, LLC",CA,94107,null,94107,H24
1401 18th St,353671,82944,Chez Maman,null,null,null,1401 18th St.,SF,Logere Inc.,CA,94107,null,94107,H24
1775 17th St,415140,82992,Philz Coffee,null,null,null,1775 17th St.,SF,Philz Coffee Inc.,CA,94107,null,94107,H25
431 2nd St,1012739,83041,Hayabusa,null,null,null,508 Dorado Terrace,San Francisco,Apex Global Alliance LLC,CA,94112,null,94107,H79
350 02nd St,1012392,83142,Luna Express,null,null,null,1188 Tulane Ave.,San Leandro,"Saba Hagos, Lilly Hagos",CA,94579,null,94107,H79
330 Ritch St,1004342,83360,Little Skillet,null,null,null,"360 Ritch Street, Suite 200",San Francisco,"Little Skillet, LLC",CA,94107,null,94107,H25
69 Bluxome St,1006128,83362,Local Brewing Co LLC,null,null,null,86 Arago St.,SF,Local Brewing Co LLC,CA,94112,null,94107,H87
1415 18th St,1009967,83389,Provender,null,null,null,1415 18th St.,SF,Potrero Provender LLC,CA,94107,null,94107,H24
508 04th St,1011034,83406,Salud Cocktails & Co LLC,null,null,null,3635 Mission St.,SF,Salud Cocktails & Co LLC,CA,94110,null,94107,H74
360 03rd St Suite 101,1012951,83415,La Capra Coffee,null,null,null,582 Market St.,SF,SHM Coffee LLC,CA,94104,null,94107,H25
