address,business_certificate,business_id,business_name,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
495 Geary St Lower Level,327363,2588,The Clift Hotel (Cafeteria),San Francisco,37.787,-122.411,495 Geary St,San Francisco,Clift Holdings LLC,CA,94102,null,94102,H25
219 O'Farrell St,367799,2589,Dojima-Ann,San Francisco,37.7864,-122.408,219 O'Farrell St,San Francisco,New Sun Restaurant Corporation,CA,94102,null,94102,H25
201 Powell St,911744,2592,Starbucks Coffee,San Francisco,37.7868,-122.408,201 Powell St,San Francisco,Starbucks Coffee Co,CA,94102,null,94102,H25
442 Geary St,911744,2768,Starbucks Coffee,San Francisco,37.7871,-122.411,442 Geary St,San Francisco,Starbucks Coffee Co,CA,94102,null,94102,H25
780 Market St,911744,2799,Starbucks Coffee,San Francisco,37.7861,-122.405,780 Market St,San Francisco,Starbucks Coffee Co,CA,94102,null,94102,H25
222 Mason St,911744,2810,Starbucks Coffee,San Francisco,37.7856,-122.41,222 Mason St,San Francisco,Starkbucks Coffee Co,CA,94102,null,94102,H25
333 Geary St,312662,2833,Lefty O`Doul`s,San Francisco,37.7873,-122.409,333 Geary St,S.F.,J.G.X. CORP.,CA,94102,null,94102,H26
401 Taylor St,914322,2862,Jasper's Corner Tap & Kitchen,San Francisco,37.786,-122.411,401 Taylor St,San Francisco,The Kimpton Group,CA,94102,null,94102,H26
"251 Geary St, 8th Floor",330849,2898,The Cheesecake Factory,San Francisco,37.7874,-122.407,"251  Geary St, 8th Floor",San Francisco,The Cheesecake Factory Restaur,CA,94102,null,94102,H26
637 Sutter St,13271,2922,The White Horse,San Francisco,37.7889,-122.411,637 Sutter St,San Francisco,Beresford Hotel Corp,CA,94102,null,94102,H26
"609 Sutter St,  12th Floor",32200,2924,Leatherneck Steakhouse - Marines' Memorial Assn,San Francisco,37.789,-122.41,"609 Sutter St, 12th Floor",San Francisco,Marines' Memorial Association,CA,94102,null,94102,H26
609 Sutter St 10th Floor,32200,2925,Marines Memorial Club - Banquet,San Francisco,37.789,-122.41,"609 Sutter St, 10th Floor",San Francisco,Marines' Memorial Association,CA,94102,null,94102,H26
433 Powell St,346889,2926,Luques Restaurant & Bar,San Francisco,37.7887,-122.409,433 Powell St,San Francisco,Chancellor License Corp,CA,94102,null,94102,H26
"450 Post St, 3rd Floor",770156,2928,Elks Club,San Francisco,37.7882,-122.409,"450 Post St, 3rd Floor",San Francisco,SF Lodge #3 B.P.O.E.,CA,94102,null,94102,H26
395 HAYES St,203264,2955,CAFFE DELLE STELLE,SF,37.7769,-122.423,395 HAYES ST,SF,CAFFE DELLE STELLE INC,CA,94102,null,94102,H26
120 Powell St,27950,3019,Tad's,San Francisco,37.7859,-122.408,120 Powell St,San Francisco,Tad's Inc,CA,94102,null,94102,H26
476 TURK St,117710,3038,TURK & LARKIN DELI,SF,37.7825,-122.417,476 TURK ST,SF,"ABURAHMA, MUNIR MOHMMAD",CA,94102,14155776889,94102,H26
320 Mason St,928729,3056,Cafe Mason,San Francisco,37.7865,-122.41,320 Mason St,San Francisco,Ki Young Chung,CA,94102,null,94102,H26
500 Sutter St,945623,3112,Lori's Diner,San Francisco,37.7892,-122.409,"500 Sutter Street, Suite 708",San Francisco,"Lori's Diner International, Inc.",CA,94102,null,94102,H26
44 Ellis St,141498,3123,Les Joulins,San Francisco,null,null,44 Ellis St,San Francisco,"Les Joulins, USA",CA,94102,null,94102,H26
595 Sutter St,476584,3129,Francisca Club,San Francisco,37.789,-122.41,595 Sutter St,San Francisco,Francisca Club,CA,94102,null,94102,H26
"450 Post St, 4th Floor",302913,3207,Farallon Restaurant,San Francisco,37.7882,-122.409,"450 Post St, 4th Floor",San Francisco,"Ocean Club, LLC",CA,94102,null,94102,H26
160 Ellis St,173398,3373,New Delhi Restaurant,San Francisco,37.7855,-122.409,160 Ellis St,San Francisco,New Delhi Restaurant,CA,94102,null,94102,H26
347 Geary St,352441,3374,Daily Grill,San Francisco,37.7872,-122.409,347 Geary St,San Francisco,"Grill Concepts Management, Inc.",CA,94102,null,94102,H26
389 Geary St,152683,3375,Sushi Boat Restaurant,San Francisco,37.7871,-122.41,389 Geary St,San Francisco,Man Jong Kim & Ki Young Chung,CA,94102,null,94102,H26
450 Post St 1st Floor,302913,3403,Farallon,San Francisco,37.7882,-122.409,"450 Post St, 1st Floor",San Francisco,"Ocean Club, Inc",CA,94102,null,94102,H26
439 Powell St,945623,3482,Sears Fine Food,San Francisco,37.7888,-122.409,439 Powell St,San Francisco,Lori's Diner Int'l Inc,CA,94102,null,94102,H26
404 Post St,934952,3490,Morton's Chicago Steakhouse,San Francisco,37.7883,-122.409,"325 N. LaSalle Street, Suiite 500",Chicago,Morton's of Chicago/San Francisco c/o Maria G. Carmona,IL,60654,null,94102,H26
619 Taylor St,171173,3495,Ryoko's,San Francisco,37.7881,-122.412,619 TAYLOR ST,SAN FRANCISCO,KOBAYASHI RYOKO,CA,94102,null,94102,H26
624 Taylor St,173748,3496,Bohemian Club,San Francisco,37.7882,-122.412,624 Taylor St,San Francisco,Bohemian Club,CA,94102,null,94102,H26
170 O'Farrell St 8th Floor,338615,3562,Mixed Greens Prep Kitchen,San Francisco,37.7865,-122.407,7 WEST 7TH ST 17TH FL,CINCINNATI,MACYS WEST STORES INC,OH,45202,null,94102,H26
398 HAYES St,111067,3611,ABSINTHE BRASSERIE & BAR,SAN FRANCISCO,37.7769,-122.423,450 GOUGH ST 2ND FL,SAN FRANCISCO,THE ABSINTHE GROUP INC,CA,94102,14155551590,94102,H26
324 HAYES St,116582,3640,HAYES STREET GRILL,SF,37.777,-122.422,324 HAYES ST,SAN FRANCISCO,HAYES STREET GRILL CORP.,CA,94109,null,94102,H26
201 IVY St,111067,3642,ABSINTHE PASTRY,SF,37.7775,-122.421,450 GOUGH ST 2ND FL,SAN FRANCISCO,THE ABSINTHE GROUP INC,CA,94102,null,94102,H88
525 LAGUNA St,386143,3643,SUPPENKUCHE,SF,37.7763,-122.426,525 Laguna,SF,"SUPPENKUCHE, INC.",CA,94102,null,94102,H26
1658 MARKET St,948241,3645,ZUNI CAFE,SF,37.7734,-122.422,1658 MARKET ST,SAN FRANCISCO,CUCAGNA LTD,CA,94102,14155552522,94102,H26
1942 MARKET St,323529,3646,THE MINT B & R INC.,SF,37.7702,-122.426,1942 MARKET ST.,SAN FRANCISCO,THE MINT B & R INC.,CA,94102,14155624726,94102,H26
1601 Mission St,943498,3665,Tower Carwash,San Francisco,37.772,-122.419,1601 MISSION ST,SF,Vladigor Investment Inc.,CA,94103,14155559274,94102,H26
501 Post St,352860,3707,Zingari,San Francisco,37.788,-122.41,501 Post St,San Francisco,Krishan Miglani & Arti Miglani,CA,94102,null,94102,H26
420 Mason St,377104,3729,Ruby Skye,San Francisco,37.7875,-122.41,420 Mason St,San Francisco,"Inner Circle Entertainment II, Inc",CA,94102,null,94102,H26
300 GROVE St,303909,3731,JARDINIERE RESTAURANT,SF,37.778,-122.422,300 GROVE ST,SF,"JARDINIERE, LLC",CA,94102,null,94102,H26
35 POWELL St,134280,3769,BURGER KING,SAN FRANCISCO,37.7851,-122.408,35 POWELL ST,SAN FRANCISCO,DELSIE INC,CA,94102,14155511515,94102,H26
10 United Nations Plaza,149972,3776,CARL'S JR.,SAN FRANCISCO,37.7804,-122.413,10 UNITED NATIONS PZ,SAN FRANCISCO,TWM INDUSTRIES,CA,94102,null,94102,H26
495 Geary St 15th Floor,327363,3790,The Clift Hotel (Spanish Suite),San Francisco,37.787,-122.411,495 Geary St,San Francisco,Clift Holdings LLC,CA,94102,null,94102,H26
495 Geary St Main Level,327363,3791,The Clift Hotel (Main Kitchen),San Francisco,37.787,-122.411,495 Geary St,San Francisco,Clift Holdings LLC,CA,94102,null,94102,H26
401 Mason St,939962,3794,Biscuits & Blues,San Francisco,37.7873,-122.41,401 Mason St,San Francisco,Chi Chi Beignet Inc,CA,94102,null,94102,H26
414 Mason St  8th Floor,437959,3795,French Club,San Francisco,37.7875,-122.41,414 Mason St,San Francisco,Cercle de L'Union,CA,94102,null,94102,H26
243 O'Farrell St,312891,3796,Johnny Foley's Irish House,San Francisco,37.7863,-122.409,243 O'Farrell St,San Francisco,Johnny Foley's Irish House LLC,CA,94102,null,94102,H26
